,datetime,rpl_price
370,2022-09-12 21:41:31,18666937758343779
371,2022-09-13 20:39:20,18295344712048213
372,2022-09-14 19:47:32,18883715743676191
373,2022-09-15 17:13:47,17085746686219832
374,2022-09-16 12:45:11,17956577937836201
375,2022-09-17 08:09:59,17844614861638956
376,2022-09-18 03:35:11,18254687073506739
377,2022-09-18 22:56:47,18498913677425561
378,2022-09-19 18:21:35,18708312050542433
379,2022-09-20 13:42:47,18906786713015528
380,2022-09-21 09:18:11,18605990839818239
381,2022-09-22 04:45:11,18594038908534884
382,2022-09-23 00:13:11,18258902634387890
383,2022-09-23 19:30:59,18534826961962743
384,2022-09-24 14:44:11,18270634332965055
385,2022-09-25 10:04:23,18319892042954892
386,2022-09-26 05:22:11,18264725074381187
387,2022-09-27 00:39:35,18109092829311046
388,2022-09-27 20:03:47,18404315948352531
389,2022-09-28 15:22:23,18283031891409096
390,2022-09-29 10:41:23,18534588104633059
391,2022-09-30 05:59:23,18463511770464585
392,2022-10-01 01:17:47,18516997219234191
393,2022-10-01 20:41:35,18593970145234502
394,2022-10-02 16:01:23,18595220278552674
395,2022-10-03 11:19:35,18335193807145190
396,2022-10-04 06:38:11,18296022606155262
397,2022-10-05 02:03:59,18434219539703793
398,2022-10-05 21:22:35,18607017972247918
399,2022-10-06 16:39:23,18449762999325956
400,2022-10-07 11:59:23,18528502082594982
401,2022-10-08 07:17:35,18619793258137316
402,2022-10-09 02:34:47,18787144172390582
403,2022-10-09 21:52:35,18716174956891160
404,2022-10-10 17:10:59,18804177346412735
405,2022-10-11 12:30:47,17022280549586033
406,2022-10-12 07:50:11,16908046170990805
407,2022-10-13 03:05:11,16933756164721256
408,2022-10-13 22:24:23,16688495047777377
409,2022-10-14 17:44:35,17104747145869695
410,2022-10-15 13:01:23,17106653762502401
411,2022-10-16 08:19:35,17306599274506063
412,2022-10-17 03:39:23,17267246447373554
413,2022-10-17 22:56:23,17194426824513670
414,2022-10-18 18:15:23,17017020762845917
415,2022-10-19 13:34:23,16965705150919779
416,2022-10-20 08:52:35,16843622225585990
417,2022-10-21 04:03:47,16390607764871601
418,2022-10-21 23:21:35,16365176267498807
419,2022-10-22 18:39:47,16653554812629860
420,2022-10-23 14:00:35,16727589127058911
421,2022-10-24 09:17:35,16535285720064074
422,2022-10-25 04:41:47,16041829900601519
423,2022-10-26 00:05:59,16226780764353423
424,2022-10-26 19:19:35,16354307756834374
425,2022-10-27 14:38:47,16253911326925334
426,2022-10-28 10:03:11,15856104488601914
427,2022-10-29 05:22:11,15368222747798683
428,2022-10-30 00:38:11,15198416737500765
429,2022-10-30 19:57:59,15461814376522039
430,2022-10-31 15:14:47,14775871485694682
431,2022-11-01 10:36:11,13634704354465669
432,2022-11-02 05:52:35,14248675387092650
433,2022-11-03 01:16:35,14238761783508481
434,2022-11-03 20:36:47,13649393632950707
435,2022-11-04 15:53:11,13160995068978086
436,2022-11-05 11:13:59,12630424638118235
437,2022-11-06 06:32:59,12693478810268311
438,2022-11-07 01:44:47,13217472079752929
439,2022-11-07 21:01:11,13237744063232723
440,2022-11-08 16:20:11,13360589751142501
441,2022-11-09 11:38:47,13018335949820675
442,2022-11-10 06:56:11,12297163742808009
443,2022-11-11 02:15:59,12215851461479699
444,2022-11-11 21:39:47,11786513468901501
445,2022-11-12 16:57:59,11908225933151615
446,2022-11-13 12:10:47,12628672352678618
447,2022-11-14 07:28:11,13127508080557872
448,2022-11-15 02:46:11,13025215096836851
449,2022-11-15 22:05:23,13511639285970873
450,2022-11-16 17:22:59,13165273454989024
451,2022-11-17 12:43:11,13297586665639356
452,2022-11-18 08:06:23,13360853717857481
453,2022-11-19 03:19:59,13587756885219312
454,2022-11-19 22:38:35,13646315808355272
455,2022-11-20 17:54:59,13704384538687731
456,2022-11-21 13:15:23,13460326754896308
457,2022-11-22 08:32:11,13812120943074911
458,2022-11-23 03:58:11,13990939669080209
459,2022-11-23 23:15:59,14131388657992122
460,2022-11-24 18:35:35,13864397592632408
461,2022-11-25 13:52:47,13942528827465846
462,2022-11-26 09:11:35,14193509188082282
463,2022-11-27 04:30:47,14106946257437703
464,2022-11-27 23:49:47,14094684689738576
465,2022-11-28 19:06:23,14129400720502170
466,2022-11-29 14:25:11,14307429038412585
467,2022-11-30 09:42:23,14834327851881579
468,2022-12-01 05:01:11,14859459932641880
469,2022-12-02 00:19:35,15155390149186604
470,2022-12-02 19:37:47,15884252951991654
471,2022-12-03 14:56:35,16007716052265590
472,2022-12-04 10:14:23,15941403554806224
473,2022-12-05 05:32:23,15956654545935169
474,2022-12-06 00:58:23,15905373869240568
475,2022-12-06 20:10:35,15941869832056183
476,2022-12-07 15:48:11,15957399782729206
477,2022-12-08 11:07:35,15970644782967455
478,2022-12-09 06:25:23,15803245587188123
479,2022-12-10 01:43:11,15712389058938708
480,2022-12-10 21:01:23,15710719449912273
481,2022-12-11 16:20:47,15926122509017830
482,2022-12-12 11:40:11,15972572643200641
483,2022-12-13 06:56:23,15922794573739937
484,2022-12-14 02:22:35,15966988132165284
485,2022-12-14 21:39:11,15961810616741688
486,2022-12-15 16:58:35,16071557069967095
487,2022-12-16 12:18:23,16079540697089274
488,2022-12-17 07:36:59,16072923032250812
489,2022-12-18 02:52:35,16050267530866408
490,2022-12-18 22:04:11,16156066946167252
491,2022-12-19 17:23:47,15761264584009509
492,2022-12-20 12:43:23,15808308853992379
493,2022-12-21 08:01:59,15997121617782459
494,2022-12-22 03:18:47,15937200009608805
495,2022-12-22 22:37:23,15964881343802575
496,2022-12-23 17:50:23,16114044736485074
497,2022-12-24 13:08:23,16108485017265989
498,2022-12-25 08:26:11,16154763387817989
499,2022-12-26 03:38:59,16233621606139805
500,2022-12-26 22:55:23,16222258740553754
501,2022-12-27 18:21:11,16251218811390857
502,2022-12-28 13:32:23,16143033973794954
503,2022-12-29 08:52:23,16165410281363166
504,2022-12-30 04:08:23,16242025778711832
505,2022-12-30 23:28:11,16403112202128650
506,2022-12-31 18:46:59,16418061809787590
