,staked_rpl_value_in_eth,provided_eth,matched_eth
2735,5.3817560811066665,24.0,72.0
2736,7.710948888066159,16.0,48.0
2737,1.857518845421371,8.0,24.0
2738,7.965052308670785,32.0,96.0
2739,4.251875749314598,8.0,24.0
2740,41.80287696076812,104.0,312.0
2741,2.342303611448914,8.0,24.0
2742,1.3542378175621268,16.0,16.0
2743,0.0,0.0,0.0
2744,1.8300188660590733,8.0,24.0
2745,3.8653268539947545,16.0,48.0
2746,19.23925678422895,8.0,24.0
2747,61.546431591439294,232.0,632.0
2748,10.389198663483631,40.0,120.0
2749,5.583972252807095,32.0,64.0
2750,1.9754299609820851,8.0,24.0
2751,1.6252068096448822,16.0,16.0
2752,2.5312089709657246,8.0,24.0
2753,7.298890117187864,8.0,24.0
2754,3.020563315123945,8.0,24.0
2755,6.565588770185971,24.0,72.0
2756,0.0,0.0,0.0
2757,4.042708723459866,16.0,48.0
2758,2.5634351951758827,8.0,24.0
2759,0.0,0.0,0.0
2760,2.3110442060082805,8.0,24.0
2761,3.8478513568457897,16.0,48.0
2762,7.310917578007,16.0,16.0
2763,2.123609942392639,8.0,24.0
2764,17.566675150913472,72.0,216.0
2765,0.0,0.0,0.0
2766,23.94823262126152,80.0,240.0
2767,2.415557953662649,8.0,24.0
2768,8.868642761817462,16.0,48.0
2769,5.867973319189829,16.0,48.0
2770,1.9239256784228949,16.0,16.0
2771,1.1907339163037196,16.0,16.0
2772,8.006249329222854,32.0,96.0
2773,1.957361865135915,8.0,24.0
2774,5.4362313377447515,32.0,64.0
2775,1.776197045205193,8.0,24.0
2776,3.6800907857250604,32.0,32.0
2777,0.0,0.0,0.0
2778,1.3389312623954535,16.0,16.0
2779,1.9239256784228949,8.0,24.0
2780,1.9128314789202414,8.0,24.0
2781,4.850471438097043,16.0,48.0
2782,1.8416141945070261,8.0,24.0
2783,1.9853995029045701,8.0,24.0
2784,9.360226127581669,24.0,72.0
2785,3.467375109527281,32.0,32.0
2786,8.804255356760333,48.0,112.0
2787,19.23925678422895,8.0,24.0
2788,0.0,0.0,0.0
2789,3.8453502534638404,16.0,48.0
2790,0.0,0.0,0.0
2791,9.200212594218282,24.0,72.0
2792,2.6496746946146144,8.0,24.0
2793,3.5667507791455906,8.0,24.0
