,address,withdrawal_address,staked_rpl_value_in_eth,provided_eth,matched_eth,liquid_rpl_node_value_in_eth,liquid_rpl_withdrawal_value_in_eth
1330,0x949805C73f584A74a84ECA74C9E1f11E6F93c2b2,0x949805C73f584A74a84ECA74C9E1f11E6F93c2b2,2.609697054021661,0.0,0.0,0.0,0.0
1331,0x608f69F932995A15319d1cCeBc81359621f66836,0x608f69F932995A15319d1cCeBc81359621f66836,20.19001313910977,32.0,64.0,1.1327594991434164,1.1327594991434164
1332,0xda9CF32E808BA637B05Cbe49FE3b1c6524317d34,0xda9CF32E808BA637B05Cbe49FE3b1c6524317d34,2.8769452241750373,16.0,16.0,0.0,0.0
1333,0xc93995ae8a915b12bf9c4273b9f294426FdEd7f0,0x6Bb63dE8c5B4202991DA670943606FA3c6b94E45,76.86167640333879,192.0,384.0,0.0,0.0
1334,0x8E0bc964f561699E00918227D6b06013cac0E5B4,0x8E0bc964f561699E00918227D6b06013cac0E5B4,2.6629561775731236,16.0,16.0,0.0,0.0
1335,0xF4BE2aB276bcdb518a44e0b995A40835419d52B3,0xC5ef71Fa9f9420Bd9f0249EE10FBA32303520d57,3.5506082367641647,0.0,0.0,0.0,0.0
1336,0x0F617C3691Dd48E7d2F909d48197a9CB49696F1F,0x2bF5F18B21e78bAc8163ae8eF3B5Cd1530141570,28.253124723641335,32.0,96.0,0.0,1.418653374569946
1337,0xd5c9e0646D418aFD292D834e415ea499f4fEA3C2,0x71aC96C8c43110e68Fb2155A9A0B76E549Fe11e1,46.518086019293506,64.0,64.0,0.0,1.659895389016345
1338,0x18e41bb2205e0d87cE94474411d49c035c15B062,0x18e41bb2205e0d87cE94474411d49c035c15B062,0.0,0.0,0.0,29.849066866539697,29.849066866539697
1339,0x1C24571977bBA4c2af56e40635F5a0F4F4eDf1cD,0x1C24571977bBA4c2af56e40635F5a0F4F4eDf1cD,3.834323859564888,16.0,48.0,0.03045748365004546,0.03045748365004546
1340,0xe7928DAc26c9DAE96D5341A016cf484F9e2FA928,0xe7928DAc26c9DAE96D5341A016cf484F9e2FA928,0.0,0.0,0.0,0.0,0.0
1341,0xB7715eC8662dF42E18297D13386EcF3EDcD1C1EB,0xB7715eC8662dF42E18297D13386EcF3EDcD1C1EB,3.834323859564888,16.0,48.0,0.0,0.0
1342,0x564e2e46bc8E75EA219Dfb8E1236E4ad092b83f9,0x7031844Acfc30877932bb6F26Fd9Eb8173f53A57,0.0,0.0,0.0,0.0,0.0
1343,0x2d20826aB2A4f0C9198b4dcC5C7f3888004596bd,0x67daaba4B48f23bfb2a2eCB8f1bFA677AcCef78e,0.0,0.0,0.0,0.0,0.0
1344,0x088E4aBfDDe14F4a315bB9879D38F4a657cca8a6,0x3b4BA5d43E4A06331CAdD59a336ae282FF23fa04,3.683084389044595,16.0,16.0,0.0,0.0
1345,0xf2D539745f65dDBD31df23B03df2A17180DCCDd5,0x6853170C3779D38f5514c0c59fAaE3C174524703,8.916589702490679,56.0,72.0,0.0,0.0
1346,0xEa6232b4d2d5f2Fa1E7560Cd0C4E1B2c976e6649,0xFB9D2bBbf40204d91e6E923380Cd15A267Dd4CEa,28.84210543306378,64.0,64.0,0.0,0.0
1347,0xe2D6B72EfdD468395062de0E96725a9fB805947b,0xe2D6B72EfdD468395062de0E96725a9fB805947b,1.9098495265759254,16.0,16.0,0.0,0.0
1348,0x44254f62e73F2288222eb05C4B2C8Ed33c1F6Fbc,0x00E5B98CA4D4c936eB5564378A19995B432004D1,5.236156149451875,16.0,16.0,0.0,10.027393246239324
1349,0x0E86D5F877191Bc9696Ff653Cd4C7aFAfc8e88Bf,0xeaDc5f82EcEF6D3678B70eDEbcEAbcC7729eEb08,30.580766549645556,32.0,32.0,0.0,0.0
1350,0x7dB972bb47EAB271c35e32CaEEC4aAC08b0dc3e1,0x7dB972bb47EAB271c35e32CaEEC4aAC08b0dc3e1,0.0,0.0,0.0,0.0,0.0
1351,0xf0358005b01bfFE6d3779e418bb915567d876984,0xba48Ff2445708F99d0b349b357b4B38eb40bC562,1.8653548951604604,16.0,16.0,0.0,1.7753041183820824e-20
1352,0x98D613106fb6aa36D643B0DF0b8492a6ACd40C64,0x98D613106fb6aa36D643B0DF0b8492a6ACd40C64,5.809237969444023,16.0,16.0,0.0,0.0
1353,0x47596983aF7dE4d2f801c309BB9Cef6B84e2ffDa,0x71947cb13c53922F56B7881169f97357AD8a465a,0.0,0.0,0.0,0.0,0.0
1354,0xae9B9265e685C5eA54aBa272CA648f25D0b5A4C3,0xec03Bb8fce6dA3B027792496400516873d396737,49.696363566681896,272.0,464.0,0.0,2.0896697457616082
1355,0xC4C435E93f3F01A55A0dCc01bC19966602C580fd,0x14C82e38529Ee37Dcffc49971fc184f640A29eF4,4.275282906265234,16.0,16.0,0.0,0.0
1356,0xca7222f3e6664dE57d1AE453E659A2544178A62D,0xca7222f3e6664dE57d1AE453E659A2544178A62D,5.35111661503724,16.0,16.0,0.034396480450672326,0.034396480450672326
1357,0xAB4cBf15116A63171E85D3F55bC9c7752Cc808c6,0xb657fC66899531521ce38DcFCae8A0623Ec0590F,14.80917178619436,48.0,144.0,0.0,0.0
1358,0xB81cd44Ea2C7A29e768bb8A05515D4b9E2Ed1395,0x4709eCF68ac57a9AA51498A0D0dDFB0A8fcb39bb,2.0029503441735828,16.0,16.0,0.0,1.4052923887714146
1359,0xD3e08A7F2b5AdbA52DBA1f8813F3a5def3A282b3,0xD3e08A7F2b5AdbA52DBA1f8813F3a5def3A282b3,0.0,0.0,0.0,0.0,0.0
1360,0x3EFf05d9831bf9372E0cB565765eb073A68694e5,0x3EFf05d9831bf9372E0cB565765eb073A68694e5,8.893123779713168,16.0,16.0,0.253456780003274,0.253456780003274
1361,0x6329a536Cc6c5d65458Ed071be296385527427A5,0x2604A1f7e6B490Acd36ed179EB2411adBc54B483,0.0,0.0,0.0,0.0,0.0
1362,0x38171FB7A15A87B335fB97CAB16219d2fa013de9,0x38171FB7A15A87B335fB97CAB16219d2fa013de9,2.187016446019077,16.0,16.0,0.0,0.0
1363,0x2337b31A8E6c402677c94973A71Ec34a6b719bd4,0xFFaD76737A6a48524ffb67a9E90d844414EE18aD,5.937941599240536,16.0,16.0,0.0,0.0
1364,0xFB3f85056D1C49434E7d117809Bd8d8831C7ee57,0xD6DDCdad3488387Cfbf77749087f91Fdd189747a,0.0,0.0,0.0,0.0,0.0
1365,0x01255Cb72F79bfB5927689F365ac27E88AcdC5a4,0x7086F5c49E92bDFFfEe8ae38a3c28173e772e187,1.9785289916054722,16.0,16.0,0.0,0.0
1366,0x17c2d539672708003daCE910453bd51E796553b4,0x17c2d539672708003daCE910453bd51E796553b4,2.598939172929744,16.0,16.0,0.0,0.0
1367,0x315621eC6341b4181Cba6e31844D0dcaaF628463,0x99D4aa95Af5d321079670F9E7a1E41A0099d2Fd0,9.355820494166839,32.0,32.0,0.0,0.0
1368,0xD8F6Dc95636CCb94953C7fDA2056A5C6a89aA91D,0x4dFd0016e2c917cd925B35fB463cF4C9E3546035,9.945011756568556,32.0,96.0,0.0,0.0
1369,0xaD0C8FD1590928B61907cD786BA9BA280458f370,0x80F0FcFE67ae74aeA6974303D8763F4afa8fc6b5,21.200681781718828,80.0,80.0,0.0,0.06199170705787362
1370,0x278024E92cbf3Ff79435b236514223F82365c05b,0x278024E92cbf3Ff79435b236514223F82365c05b,8.106688877223107,48.0,48.0,0.34087609775119665,0.34087609775119665
1371,0xE0878Ff2a29a0460C6d66C35F4215E7e5aD49388,0x077f6d039920d9A4ccCD4672C9AaFEC972602e0D,12.360006422174553,64.0,64.0,0.0,0.0
1372,0xA5B5cb728437e13AD3aEedF8016C120c01d60166,0x2E6706ECe6FB64889fa09D2FC44f924A6112aA92,30.066884979968645,48.0,144.0,0.0,0.6223580395333859
1373,0xE5EE560B99De57fA88F0375E4c50ae09455b7A80,0xE5EE560B99De57fA88F0375E4c50ae09455b7A80,4.004362545486986,16.0,16.0,0.0,0.0
1374,0x47b501798681751dd57E4319b9f2505bFA523330,0x47b501798681751dd57E4319b9f2505bFA523330,10.543924009782705,16.0,48.0,0.0,0.0
1375,0xfec32E8C9d2E8458C39bC60EaD7a844eA26b5386,0x41f656fEFAEd94424846F41D53873e6Aa134088c,2.041599736139395,16.0,16.0,0.0,0.15664841243466754
1376,0x323AFACD6b9C993Ac492D27488bC48E467d34DDF,0x0ae90C8d9f4D6b09b34C48D9622A1D9180E268ef,2.4358111242803946,16.0,16.0,0.0,0.0
1377,0x8333f40619Df344Ebfa46B47733B6682e06aC5AC,0x8333f40619Df344Ebfa46B47733B6682e06aC5AC,2.1481179832423196,16.0,16.0,0.0,0.0
1378,0x4f9861628107300FbB4981eA22B85Ec0c348fd5A,0x4f9861628107300FbB4981eA22B85Ec0c348fd5A,2.1440999359242916,16.0,16.0,0.0,0.0
1379,0xea9a38A8238d650f8D779DcC82b6D064b6551aa7,0x315a0701d556D2078CAefb72D236A107af4cE3A3,8.154770797338891,24.0,72.0,0.0,0.0
1380,0x39947Af31d599919ECd42c535DE4853a753Cf77B,0xD9d0F8EC41cfbdb12d415d96d9A9d76cDE32E9e4,2.3379972004823784,16.0,16.0,0.0,0.0
1381,0x0E6Ad71BaCF99c2AdC8FA376f016e42e9E59181F,0x0E6Ad71BaCF99c2AdC8FA376f016e42e9E59181F,2.4065954140888555,16.0,16.0,0.033158444651904935,0.033158444651904935
1382,0x63b65a200F6C5965bCDf9e262d8aBDf25BCAdC48,0x7ED7f89d01dca1B60bf8BC5882F7603B8ae900d9,69.79960838458017,176.0,528.0,0.0,0.0
1383,0xAf49F794f9e935616EE2fd9Aa659CbEC25BAc854,0xAf49F794f9e935616EE2fd9Aa659CbEC25BAc854,2.383407097109634,16.0,16.0,0.0,0.0
1384,0x3039bAb88dbFB2aF859F8517B4135589eb08A448,0x7FDCd2E33E371ec87B95bbFfc2554E0b2009E446,7.8813602610895135,24.0,72.0,0.0,0.0
1385,0xb881d1649C5CFcA282E8628fA20f3ff3485f87B6,0x63bE4463E9D3B67b6627226Ed61Dd291F2a14749,4.4583712175889545,16.0,48.0,0.0,0.0
1386,0x8990D7555Fee1e164b8CB09A6fA51Aa616f32618,0x1dd48fcdC4F39352b3B8B1c3aEfeD3af6cb94F10,111.58437865921277,544.0,1632.0,0.0,0.0
1387,0xAE084eF2D0e94aD74B16f2e3a97196701dCcB133,0xd80efde8D414955E9234745e3503f2f5FF1E593B,23.143673245266434,56.0,72.0,0.0,0.14876538143469611
1388,0xFD75b173c860C1478c3FF39453a0c72feDCE6c81,0x739fEE5bB1bc8ac23cB2d5c3E5756D9aF15943c6,17.2800956226283,64.0,192.0,0.0,0.0
1389,0xCF4038568f8B3A6e68A5652496cbD561E6e59082,0x2e99E4fE18A4F8a3e698B3b893f3F190701C27Da,11.4398744737529,16.0,16.0,0.0,228.28520253362993
